epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2228.1,3.13862,2.49049,2.18865,0.33768,0.22535,0.18443,0.05991,5.15414,4.32655,3.05257,0.00149312,0.00149312,0.00149312
66,2262.37,3.22196,2.50891,2.24038,0.30537,0.22535,0.16708,0.05304,4.73957,3.81418,2.87877,0.0014852,0.0014852,0.0014852
67,2296.66,3.24889,2.65774,2.25291,0.37874,0.22535,0.19592,0.0686,4.94211,4.05498,2.91279,0.00147728,0.00147728,0.00147728
68,2330.85,3.19667,2.59704,2.2382,0.33334,0.22535,0.18907,0.0608,4.7266,4.28908,2.92407,0.00146936,0.00146936,0.00146936
69,2365.23,3.09545,2.41672,2.20071,0.35261,0.1831,0.20188,0.06728,4.68922,3.71663,2.91963,0.00146144,0.00146144,0.00146144
70,2399.39,3.10361,2.61457,2.24206,0.33553,0.30282,0.22312,0.07523,4.69757,4.34086,2.96998,0.00145352,0.00145352,0.00145352
71,2433.63,3.14181,2.45294,2.17534,0.56201,0.16197,0.19819,0.06284,5.03767,4.46097,3.09014,0.0014456,0.0014456,0.0014456
72,2468,3.06835,2.46986,2.17578,0.41094,0.32425,0.26478,0.08403,4.62583,4.86037,2.85428,0.00143768,0.00143768,0.00143768
73,2502.29,3.02101,2.4505,2.20265,0.40023,0.32425,0.23562,0.07802,4.88768,4.1594,2.99067,0.00142976,0.00142976,0.00142976
74,2536.55,3.05516,2.36972,2.22061,0.2716,0.27465,0.21136,0.0696,4.84361,5.10056,2.84091,0.00142184,0.00142184,0.00142184
75,2570.79,3.12353,2.37005,2.23417,0.37607,0.2929,0.25181,0.09133,4.8522,3.98954,2.9182,0.00141392,0.00141392,0.00141392
76,2604.94,3.07363,2.38589,2.16574,0.38584,0.24648,0.19785,0.07004,5.11812,4.19482,3.0441,0.001406,0.001406,0.001406
77,2638.79,3.02794,2.35266,2.16985,0.3711,0.28873,0.23414,0.07211,4.7301,4.86661,2.8853,0.00139808,0.00139808,0.00139808
78,2672.86,2.97157,2.3668,2.1479,0.39933,0.26056,0.22985,0.07765,4.81769,4.00691,3.00342,0.00139016,0.00139016,0.00139016
79,2706.89,3.10073,2.36341,2.15562,0.31926,0.28169,0.20223,0.06001,4.75467,4.04788,2.91285,0.00138224,0.00138224,0.00138224
80,2740.96,2.91748,2.20339,2.10014,0.42173,0.27465,0.27165,0.09802,4.66554,3.63411,2.90232,0.00137432,0.00137432,0.00137432
81,2775.23,3.03484,2.34135,2.19746,0.51171,0.31734,0.28032,0.09498,4.57768,3.50907,2.87118,0.0013664,0.0013664,0.0013664
82,2809.2,3.07399,2.38785,2.20357,0.56244,0.28169,0.29796,0.09867,4.64414,3.57867,2.79967,0.00135848,0.00135848,0.00135848
83,2843.24,2.81826,2.0293,2.08098,0.51211,0.29577,0.27152,0.09086,4.79013,4.06668,2.9037,0.00135056,0.00135056,0.00135056
84,2877.23,2.85135,2.20838,2.08741,0.61665,0.30589,0.27706,0.09033,4.96155,4.20096,2.99521,0.00134264,0.00134264,0.00134264
85,2911.33,2.90332,2.1118,2.12564,0.43883,0.26761,0.24471,0.08489,4.83439,4.41445,2.88071,0.00133472,0.00133472,0.00133472
86,2945.31,2.95569,2.1215,2.14856,0.53177,0.27465,0.25264,0.08498,4.76667,3.55297,2.92796,0.0013268,0.0013268,0.0013268
87,2979.43,2.91353,2.18167,2.13061,0.38874,0.26761,0.25031,0.08642,4.8042,4.32827,2.91905,0.00131888,0.00131888,0.00131888
88,3013.72,2.92119,2.16295,2.11272,0.47614,0.27465,0.28305,0.09591,4.54882,3.64756,2.92087,0.00131096,0.00131096,0.00131096
89,3048.04,2.90867,2.14857,2.12991,0.3554,0.33803,0.28362,0.10447,4.72937,3.53645,2.95066,0.00130304,0.00130304,0.00130304
90,3082.28,2.85193,2.07368,2.10564,0.43815,0.28559,0.26916,0.09098,4.74204,4.18647,2.8388,0.00129512,0.00129512,0.00129512
91,3116.36,2.80829,1.95372,2.08386,0.51817,0.29577,0.29413,0.10543,4.8766,3.5835,2.90724,0.0012872,0.0012872,0.0012872
92,3150.5,2.72763,1.9142,2.07105,0.4154,0.3169,0.28899,0.09741,4.8768,3.56925,2.91678,0.00127928,0.00127928,0.00127928
93,3184.51,2.85269,2.02923,2.11045,0.44205,0.3515,0.31647,0.09965,4.77957,3.41191,2.855,0.00127136,0.00127136,0.00127136
94,3218.71,2.83939,2.1236,2.11813,0.56973,0.24648,0.26685,0.09516,4.75557,3.67492,2.82625,0.00126344,0.00126344,0.00126344
95,3252.75,2.68467,1.98007,2.06375,0.47085,0.32394,0.28359,0.10266,4.51911,3.64804,2.83536,0.00125552,0.00125552,0.00125552
96,3287,2.94887,2.11192,2.11251,0.5652,0.3169,0.31627,0.10656,4.67865,3.60265,2.87708,0.0012476,0.0012476,0.0012476
97,3321.01,2.82491,2.04722,2.08259,0.45026,0.24648,0.253,0.09818,4.91086,3.52532,2.93098,0.00123968,0.00123968,0.00123968
98,3355.15,2.78309,1.90624,2.06143,0.55913,0.3169,0.30995,0.10545,4.80646,3.39712,2.91458,0.00123176,0.00123176,0.00123176
99,3389.23,2.69254,1.89554,2.05197,0.64232,0.29577,0.30351,0.10268,4.70507,3.83855,2.86002,0.00122384,0.00122384,0.00122384
100,3423.17,2.78525,1.97873,2.06713,0.72804,0.35821,0.36571,0.12222,4.58923,3.61818,2.84444,0.00121592,0.00121592,0.00121592
101,3457.5,2.69865,1.92096,2.00847,0.57179,0.26333,0.29108,0.10645,4.89945,3.75386,2.89024,0.001208,0.001208,0.001208
102,3491.67,2.71818,1.9383,2.05047,0.55478,0.32469,0.33356,0.12679,4.60175,3.2727,2.90338,0.00120008,0.00120008,0.00120008
103,3525.96,2.58346,1.79505,2.01016,0.53063,0.3169,0.33651,0.12919,4.57116,3.5287,2.83436,0.00119216,0.00119216,0.00119216
104,3560.38,2.68364,1.81818,2.02481,0.51983,0.29735,0.29306,0.10763,4.82785,3.37585,2.90493,0.00118424,0.00118424,0.00118424
105,3594.68,2.71749,1.91816,2.01333,0.6178,0.31875,0.35126,0.12046,4.66339,3.1574,2.89631,0.00117632,0.00117632,0.00117632
106,3628.86,2.64477,1.80531,2.01545,0.57965,0.3169,0.33496,0.13339,4.46885,3.08235,2.80189,0.0011684,0.0011684,0.0011684
107,3663.09,2.64464,1.82729,2.01162,0.48989,0.30282,0.30298,0.10222,4.7085,3.27266,2.81555,0.00116048,0.00116048,0.00116048
108,3697.03,2.68653,1.82011,2.00153,0.66178,0.30282,0.34928,0.13339,4.54692,3.0212,2.88957,0.00115256,0.00115256,0.00115256
109,3731.4,2.71287,1.88546,2.07258,0.57415,0.33099,0.33335,0.1139,4.73197,3.23302,2.86501,0.00114464,0.00114464,0.00114464
110,3765.33,2.59396,1.839,2.04866,0.55471,0.33803,0.3501,0.12484,4.6689,3.09376,2.89187,0.00113672,0.00113672,0.00113672
111,3799.56,2.6667,1.87786,2.03548,0.67968,0.30986,0.33889,0.10794,4.67032,3.25327,2.97994,0.0011288,0.0011288,0.0011288
112,3833.72,2.66467,1.78682,2.04985,0.48094,0.33099,0.31764,0.10913,4.77258,3.08621,2.86243,0.00112088,0.00112088,0.00112088
113,3867.82,2.57406,1.67499,2.02007,0.54406,0.31093,0.33171,0.11443,4.69574,3.0929,2.89312,0.00111296,0.00111296,0.00111296
114,3902.01,2.67025,1.75897,2.03384,0.60168,0.32394,0.33779,0.11663,4.68291,2.94373,2.91151,0.00110504,0.00110504,0.00110504
115,3936.21,2.55075,1.70608,2.00182,0.66868,0.27008,0.33784,0.1369,4.43615,3.03174,2.79011,0.00109712,0.00109712,0.00109712
116,3970.59,2.59881,1.71059,1.97923,0.525,0.34507,0.33602,0.11772,4.5757,2.83016,2.92454,0.0010892,0.0010892,0.0010892
117,4004.92,2.66877,1.76066,2.01168,0.5311,0.37324,0.3465,0.12486,4.65544,3.14243,2.80697,0.00108128,0.00108128,0.00108128
118,4039.19,2.45695,1.59739,1.95079,0.66254,0.30282,0.32413,0.11795,4.75896,3.19235,2.84978,0.00107336,0.00107336,0.00107336
119,4073.42,2.56361,1.72316,2.01864,0.6836,0.29577,0.35638,0.11886,4.42094,3.04329,2.80993,0.00106544,0.00106544,0.00106544
120,4107.63,2.53476,1.61723,1.98345,0.59078,0.34507,0.37555,0.1401,4.33687,2.93573,2.76239,0.00105752,0.00105752,0.00105752
121,4141.8,2.47926,1.65941,1.95429,0.71266,0.33099,0.37478,0.13672,4.45691,3.06494,2.84344,0.0010496,0.0010496,0.0010496
122,4175.8,2.56875,1.72367,2.00783,0.83393,0.32394,0.37183,0.13581,4.5343,3.07958,2.88256,0.00104168,0.00104168,0.00104168
123,4210.01,2.52081,1.679,1.98666,0.59798,0.28169,0.36349,0.13457,4.48756,2.66941,2.84714,0.00103376,0.00103376,0.00103376
